Fondo,Honorarios Adm. SG
FBA Money Market Pesos - Clase J Ley Nº 27.743,3.379
FBA Money Market Pesos - Clase K Ley Nº 27.743,1.979
FBA Money Market Pesos Plus - Clase B,1.679
Fima Premium - Clase A,2.975
Fima Premium - Clase B,1.7425
Fima Premium - Clase C,1.445
Fima Premium - Clase P,2.85
Fundcorp Liquidez - Clase A,2.4
Fundcorp Liquidez - Clase B,2.15
Fundcorp Liquidez - Clase C,1.4
Fundcorp Liquidez - Clase D,2.15
Galileo Pesos - Clase A,3.35
Galileo Pesos - Clase B,1.5
IAM Ahorro Pesos - Clase A,2.84
IAM Ahorro Pesos - Clase B,1.74
IAM Ahorro Pesos - Clase C,1.44
IAM Ahorro Pesos - Clase D,1.34
IAM Ahorro Pesos - Clase I,3.6
IEB Ahorro - Clase A,2
IEB Ahorro - Clase B,2
IEB Ahorro - Clase C,1.5
IEB Ahorro - Clase D,1.5
IEB Ahorro - Clase E,1.5
IEB Ahorro - Clase Ley N° 27.743,2
Lombard Renta en Pesos,1.36
MAF Liquidez - Clase A,1.45
MAF Liquidez - Clase B,1.45
MAF Money Market - Clase A,3
MAF Money Market - Clase B,1.4498
MAF Money Market - Clase RAP Ley N° 27.743,3
Max Money Market - Clase A,2
Max Money Market - Clase B,1.4
Max Money Market - Clase E Ley N° 27.743,2
MEGAQM Pesos - Clase A,2.77
MEGAQM Pesos - Clase B,1.39
MEGAQM Pesos - Clase E,2.9
Mercado Fondo - Clase A,1.36
Mercado Fondo - Clase B,1.44
Mercado Fondo - Clase C,0.94
Mercado Fondo - Clase D,0
Novus Liquidez Fondo de Dinero - Clase A,3
Novus Liquidez Fondo de Dinero - Clase B,1.65
Novus Liquidez Fondo de Dinero - Clase C,3
Novus Liquidez Fondo de Dinero - Clase D,1.65
Novus Liquidez Fondo de Dinero - Clase E,3
Novus Liquidez Fondo de Dinero - Clase F,1.65
Novus Liquidez Fondo de Dinero - Clase G,3
Novus Liquidez Fondo de Dinero - Clase H,1.65
Novus Liquidez Fondo de Dinero - Clase X,3
Optimum CDB Pesos Ultra - Clase A,0
Optimum CDB Pesos Ultra - Clase B,1.815
Optimum Liquidity - Clase A,0
Optimum Liquidity - Clase B,1.3
Optimum Liquidity - Clase C,1.3
Optimum Liquidity - Clase D,1.3
Optimum Liquidity - Clase E,1.3
Parakeet Pesos - Clase A,3
Parakeet Pesos - Clase B,1.5
Pellegrini Liquidez Pesos Clase A,1.2
Pellegrini Liquidez Pesos Clase B,1.2
Pellegrini Liquidez Pesos Clase C,0.96
Pellegrini Liquidez Pesos Clase D,1.2
Pellegrini Liquidez Pesos Clase E,1.2
Pellegrini Renta Pesos - Clase A,1.6
Pellegrini Renta Pesos - Clase B,1.2
Pellegrini Renta Pesos - Clase R Ley N° 27.743,1.6
Pionero Pesos - Clase A,2.88
Pionero Pesos - Clase B,1.71
Pionero Pesos - Clase C,1.71
Pionero Pesos Plus - Clase A,2.88
Pionero Pesos Plus - Clase B,1.71
Pionero Pesos Plus - Clase C Ley N° 27.743,2.25
Premier Renta CP en Pesos - Clase A,2.45
Premier Renta CP en Pesos - Clase B,3.92
Premier Renta CP en Pesos - Clase C,1.617
Premier Renta CP en Pesos - Clase D,2.45
Quiron Money Market - Clase A,2.35
Quiron Money Market - Clase B,1.55
Quiron Money Market - Clase C,1.75
SBS Ahorro Pesos - Clase A,2.5
SBS Ahorro Pesos - Clase B,2
SBS Ahorro Pesos - Clase C,1.5
SBS Ahorro Pesos - Clase D,1.25
ST Zero - Clase A,2.4
ST Zero - Clase B,2.2
ST Zero - Clase C,1.4
ST Zero - Clase D,2.99
ST Zero - Clase E,3
Super Ahorro $ - Clase A,0.7944
Super Ahorro $ - Clase B,0.9179
Super Ahorro $ - Clase G,1.5574
Super Ahorro $ - Clase H,0.9074
Super Ahorro $ - Clase I Ley N° 27.743,0.7319
Super Ahorro $ - Clase L,0.1052
Super Ahorro Plus - Clase A,0.7319
Super Ahorro Plus - Clase B,0.9679
Super Ahorro Plus - Clase G,1.4324
Super Ahorro Plus - Clase H,0.9574
Super Ahorro Plus - Clase I,0.6474
Tandem Renta Pesos - Clase A,0
Tandem Renta Pesos - Clase B,0
Tandem Renta Pesos - Clase C,0
Tandem Renta Pesos - Clase D,0
Tandem Renta Pesos - Clase X,0
Tango Money Market Dinámico - Clase A,2.25
Tango Money Market Dinámico - Clase B,1.75
Tango Money Market Dinámico - Clase C,1.5
Toronto Trust Ahorro - Clase A,2.008
Toronto Trust Ahorro - Clase B,1.408
Toronto Trust Ahorro - Clase C,1.708
Toronto Trust Ahorro - Clase Ley N° 27.743,2.008
Transatlantica Liquidez Pesos - Clase A,2.25
Transatlantica Liquidez Pesos - Clase B,2.25
Transatlantica Liquidez Pesos - Clase RAP Ley N° 27.743,2.25
Ualintec Ahorro Pesos - Clase A,2.3
Ualintec Ahorro Pesos - Clase B,1.55
Ualintec Ahorro Pesos - Clase C,1.1
Valiant Ahorro - Clase A,1.1
Valiant Ahorro - Clase B,1.6
Wise Capital Money Markets - Clase A,2.8
Wise Capital Money Markets - Clase B,3
Wise Capital Money Markets - Clase C,3
Wise Capital Money Markets - Clase D,2.5
Wise Capital Money Markets - Clase J Ley N° 27.743,3
Zofingen Pesos Ya - Clase A,3.35
Zofingen Pesos Ya - Clase B,3.35
Zofingen Pesos Ya - Clase C Ley N° 27.743,3.25
Zofingen Pesos Ya - Clase D Ley N° 27.743,3.25
Axis Pesos - Clase A,2.25
Axis Pesos - Clase B,1.25
Axis Pesos - Clase X Ley N° 27.743,2.25
Axis Pesos - Clase Y Ley N° 27.743,1.25
GMC Money Market - Clase A,2
GMC Money Market - Clase B,2
GMC Money Market - Clase C,1.75
Allaria Ahorro Dinámico	- Clase B,0
Allaria Ahorro Dinámico	- Clase C,0
Allaria Ahorro Dinámico	- Clase D,0
Allaria Ahorro Dinámico - Clase A,0
Allaria Ahorro Dinámico - Clase E,0
Alpha Pesos Plus - Clase A,2.262
Alpha Pesos Plus - Clase B,2.8348
Crecer Liquidez - Clase A,3.32
Crecer Liquidez - Clase B,2.02
Gainvest Pesos - Clase A,2
Gainvest Pesos - Clase B,2
Gainvest Pesos - Clase C,1.2
Gainvest Pesos - Clase Ley N° 27.743,2
Schroder Liquidez - Clase A,2.9
Schroder Liquidez - Clase B,1.35
Schroder Liquidez - Clase D Ley N° 27.743,2.9
Mercado de Dinero Dolar Estadounidense,nan
1822 Raices Ahorro Dólares - Clase A,0.25
Adcap Ahorro Dólares - Clase C,0.1
Adcap Ahorro Dólares - Clase D,0.17
Adcap Ahorro Dólares - Clase E,0.12
Adcap Ahorro Dólares - Clase F,0.12
Adcap Ahorro Dólares - Clase G,0.045
Adcap Ahorro Dólares - Clase Ley Nº 27.743,0.17
Allaria Dólar Ahorro - Clase A,0.5
Allaria Dólar Ahorro - Clase B,0.4
Allaria Dólar Ahorro - Clase C,0.35
Allaria Dólar Ahorro - Clase Ley Nº 27.743,0.5
Alpha Dólar - Clase A,0.1366
Alpha Dólar - Clase B,0.3184
Alpha Dólar - Clase C,0.1328
Alpha Dólar - Clase D,0.0709
Alpha Dólar - Clase H,0.2388
Alpha Dólar - Clase I,0.0768
Alpha Dólar - Clase J,0.1366
Alpha Dólar - Clase K,0.3184
Alpha Dólar - Clase Q - Ley Nº 27.743,0.3184
Argenfunds Liquidez Dólares - Clase A,0.05
Argenfunds Liquidez Dólares - Clase B,0.05
Balanz Money Market USD - Clase A,0.25
Balanz Money Market USD - Clase B,0.2
Balanz Money Market USD - Clase C,0.2
Balanz Money Market USD - Clase D,0.25
Balanz Money Market USD - Clase E,0.2
Balanz Money Market USD - Clase L Ley Nº 27.743,0.25
BAVSA Ahorro Dólar - Clase A,0.25
BAVSA Ahorro Dólar - Clase B,0.2
BAVSA Ahorro Dólar - Clase E Ley N° 27.743,0.25
BAVSA Ahorro Dólar - Clase F Ley N° 27.743,0.2
Champaquí Fondo Liquidez Dólar - Clase A,0.32
Champaquí Fondo Liquidez Dólar - Clase B,0.32
Delta Dólares - Clase A,0.25
Delta Dólares - Clase B,0.15
Delta Dólares - Clase K Ley Nº 27.743,0.25
Delta Dólares - Clase L Ley Nº 27.743,0.15
FBA Money Market Dólar - Clase B,0.004
Gainvest Dólares Premium - Clase A,0
Gainvest Dólares Premium - Clase B,0
Gainvest Dólares Premium - Clase C,0
Galileo Pesos - Clase C,0
Galileo Pesos - Clase D,0
IAM Ahorro Pesos - Clase F,1.25
IAM Liquidez en Dólares - Clase A,0.3
IAM Liquidez en Dólares - Clase B,0.3
IAM Liquidez en Dólares - Clase C,0.3
IAM Liquidez en Dólares - Clase D,0.3
IAM Liquidez en Dólares - Clase E,0.3
IAM Liquidez en Dólares - Clase F,0.3
IAM Liquidez en Dólares - Clase G,0.3
IAM Liquidez en Dólares - Clase H,0.3
IAM Liquidez en Dólares - Clase I,0.3
IAM Liquidez en Dólares - Clase J,0
IAM Liquidez en Dólares - Clase Ley Nº 27.743,0.3
IAM Retorno Dólares - Clase A,0.05
IAM Retorno Dólares - Clase B,0.05
IAM Retorno Dólares - Clase C,0.15
IEB Corto Plazo Dólar - Clase A,0.25
IEB Corto Plazo Dólar - Clase B,0.25
IEB Corto Plazo Dólar - Clase X Ley N° 27.743,0.25
Lombard Liquidez Dolares - Clase A,0.24
MAF Cash Dolares I - Clase A,0.25
MAF Cash Dolares I - Clase B,0.25
MAF Cash Dolares I - Clase C,0.25
Max Money Market Dólares - Clase A,0.3
Max Money Market Dólares - Clase B,0.25
Max Money Market Dólares - Clase C,0.3
Max Money Market Dólares - Clase D,0.25
Max Money Market Dólares - Clase E Ley N° 27.743,0.3
MEGAQM Liquidez Dólar - Clase A,0.15
MEGAQM Liquidez Dólar - Clase B,0.1
MEGAQM Liquidez Dólar - Clase Ley N° 27.743,0.15
Novus Dólar MM - Clase A,0.1
Novus Dólar MM - Clase B,0.08
Novus Dólar MM - Clase D,0.15
Novus Dólar MM - Clase E,0.1
Novus Dólar MM - Clase F,0.08
Novus Dólar MM - Clase G,0.2
Novus Dólar MM - Clase H,0.15
Novus Dólar MM - Clase I,0.2
Novus Dólar MM - Clase J Ley Nº 27.743,0.2
Novus Dólar MM - Clase X,0.15
Novus Dólar MM - Clase Y,0.15
Novus Dólr CMM - Clase C,0.2
Parakeet Pesos - Clase C,0
Parakeet Pesos - Clase D,0
Pellegrini Money Market USD - Clase A,0.15
Pellegrini Money Market USD - Clase B,0.1
Pellegrini Money Market USD - Clase R Ley N° 27.743,0.15
Pionero Money Market Dólar - Clase A,0.45
Pionero Money Market Dólar - Clase B,0.36
Pionero Money Market Dólar - Clase C Ley Nº 27.743,0.45
Pionero Money Market Dólar - Clase D,0.05
Pionero Money Market Dólar - Clase E,0.36
Premier Corto Plazo en Dólares - Clase A,0.196
Premier Corto Plazo en Dólares - Clase B,0.294
Premier Corto Plazo en Dólares - Clase C,0.098
Premier Corto Plazo en Dólares - Clase Ley N° 27.743,0.196
Quiron Money Market USD - Clase A,0.25
Quiron Money Market USD - Clase B,0.25
Quiron Money Market USD - Clase C,0.25
Schroder Liquidez Dolares - Clase A,0.15
Schroder Liquidez Dolares - Clase B,0.1
Schroder Liquidez Dolares - Clase C,0
Schroder Liquidez Dolares - Clase D,0
Superfondo Ahorro en Dólares - Clase A,0.0907
Superfondo Ahorro en Dólares - Clase B,0.1354
Superfondo Ahorro en Dólares - Clase H,0.1499
Superfondo Ahorro en Dólares - Clase I,0.1249
Superfondo Ahorro en Dólares - Clase M Ley N° 27.743,0.0907
Toronto Trust Money Market Dólar - Clase A,0.25
Toronto Trust Money Market Dólar - Clase B,0.15
Toronto Trust Money Market Dólar - Clase C,0.2
Toronto Trust Money Market Dólar - Clase D,0
Toronto Trust Money Market Dólar - Clase Ley N° 27.743,0.25
Fima Premium Dólares - Clase A,0.425
Fima Premium Dólares - Clase B,0.425
Fima Premium Dólares - Clase C,0.425
Fima Premium Dólares - Clase L,0.425
Fima Premium Dólares - Clase N,0.215
SBS Liquidez USD - Clase A,0.2
SBS Liquidez USD - Clase B,0.2
SBS Liquidez USD - Clase Ley 27.743,0.2
Valiant Money Market Dolares - Clase A,0.2
Valiant Money Market Dolares - Clase B,0.22
Valiant Money Market Dolares - Clase C - Ley Nº 27.743,0.22
Cocos Dólar Money Market - Clase A,0.4
Cocos Dólar Money Market - Clase B,0.4
Cocos Dólar Money Market - Clase C,0.4
Wise Capital Dollar Money Market - Clase A,0.1
Wise Capital Dollar Money Market - Clase B,0.1
Wise Capital Dollar Money Market - Clase C,0.05
Wise Capital Dollar Money Market - Clase D,0.1
Crecer Liquidez Dolares - Clase A,0.12
Crecer Liquidez Dolares - Clase B,0.12
Fondos Cerrados Peso Argentina,nan
Dracma FCIC Inmobiliario - Clase A,0.02
Dracma FCIC Inmobiliario - Clase B,0.02
FCIC Inmobiliario Puerto Nizuc - Clase A,0
GSS Inmobiliario I FCIC,1.5
Pellegrini I FCIC - Clase U,1.5
SBS Renta Fija I FCIC - Clase A,1.4
Terrazas Del Volcan Inmobiliario FCIC,2
ADBlick Ganaderia FCIC,0
Allaria Nomada Renta Corporativa FCIC - Clase A,0.0075
Allaria Nomada Renta Corporativa FCIC - Clase B,0.005
Allaria Nomada Renta Corporativa FCIC - Clase C,0.005
GNNW SBS FCIC Ganadero W86,1.4
Mercadolibre Cerrado De Créditos,1
Allaria Residencial I FCIC,1.5
Fondos Cerrados Dolar Estadounidense,nan
ADBlick Granos Plus FCIC,1.6
Allaria Adblick Granos FCIC Agropecuario,1.6
Allaria Argencons Pto. M. FCIC Ley 27260 - Clase A,0
Allaria Argencons Pto. M. FCIC Ley 27260 - Clase B,0
Allaria Lendar Creditos - Clase A,1.2
Allaria Rdcial. Casasarg FCIC Ley 27260 - Clase A,0
Allaria Rdcial. Casasarg FCIC Ley 27260 - Clase B,0
First Renta Agro FCIC Ley 27260 - Clase A,0
First Renta Agro FCIC Ley 27260 - Clase B,0
First Renta Agro FCIC Ley 27260 - Clase C,0
Quinquela Predial FCIC Ley 27260 - Clase A,1.7
Quinquela Predial FCIC Ley 27260 - Clase B,1.2
Quinquela Predial FCIC Ley 27260 - Clase C,0.6
SBS Infraestructura y Desarrollo Productivo FCIC Ley 27260 - Clase A,0.6
Consultatio Inmobiliario FCIC Ley 27260 - Clase A,1.5
Consultatio Inmobiliario FCIC Ley 27260 - Clase B,1.5
FCIC Inmobiliario Al Rio Ley 27260 - Clase A,0
FCIC Inmobiliario Al Rio Ley 27260 - Clase B,0
SBS Creaurban Desarrollo FCIC - Clase A,0.5445
SBS Creaurban Desarrollo FCIC - Clase C,0.5445
